Year,Annual_AllPrecip,Winter_AllPrecip,Spring_AllPrecip,Summer_AllPrecip,Autumn_AllPrecip
1840,NaN,NaN,NaN,351.5,NaN
1841,NaN,NaN,NaN,424.7,NaN
1842,NaN,NaN,NaN,302.3,NaN
1843,NaN,NaN,NaN,377.9,NaN
1844,NaN,NaN,NaN,NaN,NaN
1845,NaN,NaN,NaN,221,NaN
1846,NaN,NaN,220,180.4,NaN
1847,1041.4,NaN,187.1,224.1,389.2
1848,NaN,NaN,NaN,129.1,191.5
1849,1018.9,257.3,268.5,280.9,284.1
1850,1006.8,215.7,204.6,354.2,187.6
1851,866.3,239.6,201.1,213.7,246.9
1852,1188.4,242.1,266.4,270.2,301.7
1853,831.1,274.7,253.9,142.8,243
1854,940,248.2,286.1,186.6,231.8
1855,1192.7,283.7,233.8,244.5,362.1
1856,811.5,221,255.2,167.9,209.5
1857,1154.7,295.8,250.9,378.9,216.2
1858,926.8,247.2,249,272.2,193.4
1859,1127.6,215.1,283.1,293.1,269.6
1860,807.3,295.7,124.2,272.7,180.6
1861,995.2,286.5,244.6,221.8,285.7
1862,983.2,210.4,232.4,270.9,221.9
1863,940.7,295.4,214.5,204.6,207.4
1864,1057.5,263.3,281.8,192.4,281.4
1865,938.8,280.4,368.8,177.8,190.3
1866,1095,190.8,224.95,287.6,282.6
1867,835.2,265.775,257.175,153.125,153
1868,917.625,256.65000000000003,263.875,187.05,250.5
1869,1022.9333333333333,236,218.33333333333334,321.6,267.925
1870,1168.925,362.1,269.34,321.18333333333334,300.45
1871,916.2,250.46,244.63333333333333,201.5,194.12857142857143
1872,1113.8555555555556,214.61428571428573,240.46363636363637,252.34166666666667,313.09999999999997
1873,1133.9888888888888,349.2285714285714,278.01428571428573,231.54666666666665,334.89285714285717
1874,1204.625,337.28181818181815,291.74666666666667,266.4625,225.50666666666666
1875,1193.7214285714285,373.6357142857143,241.55,251.04375,324.78
1876,1197.28125,331.96,290.68823529411765,257.4315789473684,275.93157894736845
1877,1104.0625,275.2,291.41,237,293.3681818181818
1878,1241.4947368421053,234.085,299.75,281.4318181818182,322.34285714285716
1879,1139.9850000000001,330.765,230.26190476190476,291.8565217391304,282.0782608695652
1880,1135.259090909091,334.2227272727273,266.7695652173913,245.52173913043478,319.544
1881,1037.682608695652,271.6583333333333,218.18,243.775,265.764
1882,1093.0136363636364,328.1875,248.1625,280.5541666666667,249.35833333333332
1883,1046.286956521739,294.0652173913044,255.4148148148148,267.221875,251.60333333333332
1884,1110.9166666666667,321.13448275862066,241.9181818181818,260.25428571428574,247.64857142857144
1885,1037.0617647058823,308.6454545454545,233.7764705882353,269.5861111111111,254.9027027027027
1886,933.3866666666667,332.12857142857143,213.3294117647059,212.42105263157896,235.80857142857144
1887,960.7666666666667,326.01176470588234,191.16969696969696,215.0457142857143,205.69722222222222
1888,991.7645161290322,275.18387096774194,197.56470588235294,267.43157894736845,279.91621621621624
1889,920.8121212121212,270.8722222222222,184.61621621621623,222.1891891891892,219.20555555555555
1890,1042.2342105263158,274.89166666666665,236.88372093023256,283.2627906976744,242.1046511627907
1891,944.0026315789473,274.48,187.77954545454546,289.0883720930233,242.58863636363637
1892,997.4666666666667,253.1575,210.84772727272727,324.49333333333334,241.12558139534883
1893,1043.827027027027,249.195,216.5975,265.14772727272725,230.01590909090908
1894,891.5263157894736,296.75384615384615,227.72826086956522,173.98510638297873,245.9909090909091
1895,878.1512195121951,238.7093023255814,175.5659574468085,223.99591836734695,231.93125
1896,989.5688888888889,264.12083333333334,215.478431372549,228.62075471698114,267.4423076923077
1897,939.2872340425532,222.93673469387755,240.7764705882353,277.6241379310345,211.39285714285714
1898,976.6584905660377,276.47222222222223,179.76833333333335,226.6328125,278.96166666666664
1899,987.06,240.77241379310345,219.39508196721312,231.3265625,235.15322580645162
1900,965.74,276.0762711864407,216.90153846153845,248.7722222222222,267.02028985507246
1901,870.4683333333334,207.91940298507464,202.0014705882353,224.51714285714286,207.21304347826086
1902,919.5693548387097,228.55671641791045,228.5176470588235,261.2078947368421,206.38513513513513
1903,882.7316666666667,241.45857142857142,196.54714285714286,246.65694444444443,229.66756756756757
1904,840.9014285714286,230.4972972972973,211.726582278481,209.95555555555555,203.3935064935065
1905,802.1333333333333,209.88918918918918,159.95205479452054,221.785,209.48101265822785
1906,866.8923076923077,184.75571428571428,202.83157894736843,217.0741176470588,246.11219512195123
1907,812.5661764705883,217.4,167.02875,222.3,209.41184210526316
1908,774.3380281690141,220.17260273972602,197.22820512820513,213.89767441860465,151.5487804878049
1909,830.2265060240964,200.02,194.3088888888889,217.38659793814432,220.59255319148937
1910,826.4120481927711,207.64505494505494,165.5483870967742,201.7695238095238,225.97238095238095
1911,799.7341176470588,201.38279569892472,164.14803921568628,217.46785714285716,220.66190476190476
1912,874.0333333333333,201.01568627450982,170.2111111111111,238.7939655172414,218.14655172413794
1913,821.2378378378378,213.34017857142857,176.17016129032257,220.2231343283582,227.90833333333333
1914,784.1422764227642,189.94227642276422,162.655,180.32341772151898,232.65723684210525
1915,803.8282608695653,159.78620689655173,156.35133333333334,223.75470588235294,206.5829411764706
1916,822.0238410596027,224.70891719745222,200.96531791907515,217.12328042328042,205.79285714285714
1917,839.5927631578948,204.9691011235955,175.81242937853108,220.34188481675392,201.78268156424582
1918,828.0740740740741,249.55625,146.58324324324323,213.85671641791046,228.82804232804233
