Year,Annual_AllSnow,Winter_AllSnow,Spring_AllSnow,Summer_AllSnow,Autumn_AllSnow
1840,NaN,-10,NaN,0,NaN
1841,NaN,NaN,NaN,0,NaN
1842,NaN,NaN,NaN,0,NaN
1843,NaN,NaN,NaN,0,NaN
1844,NaN,NaN,NaN,0,NaN
1845,NaN,NaN,NaN,0,NaN
1846,NaN,NaN,12,0,NaN
1847,162.2,NaN,27.4,0,1.1
1848,NaN,NaN,NaN,0,4.8
1849,139.4,144.1,13.2,0,3.3
1850,225.1,122.2,39.9,0,0.2
1851,124.2,127.8,33.6,0,22.8
1852,328.2,193,97.7,0,7.1
1853,174.1,129,28.5,0,9.6
1854,161.8,154.4,18.2,0,5.6
1855,318.4,199.9,66,0,13.5
1856,213.1,170,52.5,0,31.4
1857,239,161.8,78,0,23.4
1858,148.9,127.9,2.3,0,13.6
1859,212.1,114.5,8.3,0.4,3.7
1860,152,209.1,10.1,0,7.5
1861,243.3,207.8,47.2,0,11
1862,274.8,183.8,60.3,0,19.4
1863,204,169.8,42.2,0,1.4
1864,240.9,139.2,23.4,0,15.5
1865,205.5,188.9,67.6,0,18.3
1866,153.4,18.9,22.25,0,14.1
1867,280.1,174.875,88.175,0,6.975
1868,247.075,186.375,34.4,0,16.75
1869,296,201.925,47.63333333333333,0,73.125
1870,361.475,95.55,146.34,0,24.383333333333333
1871,240.2,115.88571428571429,35.05,0,29.67142857142857
1872,331.93333333333334,79.43846153846154,87.63333333333333,0.024999999999999998,36.330769230769235
1873,428.34444444444443,234.78125,119.60714285714286,0,86.23571428571428
1874,406.325,163.7923076923077,124.4,0,45.839999999999996
1875,458.3857142857143,298.1,100.87857142857143,0.1,64.96666666666667
1876,402.425,198.7235294117647,112.76470588235294,0,19.22105263157895
1877,315.71875,204.06842105263158,96.91904761904762,0.02857142857142857,28.213636363636365
1878,267.37,135.55238095238096,54.14545454545455,0,32.06190476190476
1879,411.365,240.4952380952381,85.7909090909091,0.013043478260869565,59.21739130434783
1880,350.70454545454544,215.78695652173914,88.73478260869565,0,63.256
1881,282.3666666666667,185.6851851851852,62.034615384615385,0.04166666666666667,46.896
1882,404.60869565217394,214.11666666666667,98.332,0,34.80833333333334
1883,330.1041666666667,179.74666666666667,94.6962962962963,0,33.2
1884,354.3875,203.96666666666667,78.08235294117647,0.32,55.168571428571425
1885,346.3742857142857,196.00833333333333,116.38571428571429,0,22.643243243243244
1886,290.7032258064516,190.5236842105263,69.46470588235294,0,36.56388888888889
1887,326.93333333333334,218.17777777777778,72.10882352941177,0.125,33.388888888888886
1888,282.01612903225805,170.8685714285714,82.03529411764706,0.2026315789473684,31.545945945945945
1889,264.3794117647059,170.0921052631579,41.857894736842105,0.002564102564102564,28.616666666666667
1890,271.4307692307692,148.9525,68.54651162790698,0.19767441860465115,22.94418604651163
1891,219.25263157894736,164.63170731707316,60.32727272727273,0.11860465116279069,23.027272727272727
1892,231.025,141.6560975609756,53.481818181818184,0.14888888888888888,34.425581395348836
1893,309.2894736842105,173.075,54.1325,0.0022222222222222222,29.852272727272727
1894,240.8,195.93170731707318,67.28260869565217,0.8479166666666668,34.81777777777778
1895,237.26904761904763,139.62708333333333,35.329787234042556,0.3666666666666667,31.84375
1896,252.08510638297872,142.6529411764706,65.82549019607843,0.0035087719298245615,34.63076923076923
1897,225.0265306122449,126.26862745098039,50.680392156862744,0.08983050847457627,37.65
1898,229.2418181818182,144.16333333333333,37.27333333333333,0.0390625,31.36393442622951
1899,217.10363636363635,134.22295081967212,66.96885245901639,0.0421875,18.525806451612905
1900,234.8642857142857,123.8923076923077,58.96153846153846,0.2972222222222222,36.92463768115942
1901,230.11147540983606,129.9857142857143,41.80735294117647,0.7830985915492957,31.372857142857143
1902,188.84126984126985,124.41857142857143,32.438235294117646,0.23116883116883116,25.32162162162162
1903,217.35573770491803,138.9890410958904,48.135211267605634,0.002777777777777778,29.78918918918919
1904,260.7760563380282,150.88,69.94177215189873,0.4617283950617284,20.093506493506492
1905,204.171875,148.36282051282052,27.663013698630138,0.3,25.68101265822785
1906,177.21969696969697,90.0054794520548,42.37662337662338,0.002325581395348837,34.4109756097561
1907,210.88115942028986,128.26829268292684,69.3525,0.0630952380952381,18.6
1908,211.98333333333332,122.75189873417722,50.266666666666666,0.35517241379310344,22.452439024390245
1909,217.23614457831326,108.51860465116279,57.43846153846154,0.06224489795918367,30.069148936170212
1910,189.08705882352942,113.19405940594059,30.417021276595744,1.0579439252336449,28.088571428571427
1911,212.75393258426965,120.473786407767,47.316346153846155,0.2735042735042735,42.73551401869159
