Year,Annual_MinTemp,Winter_MinTemp,Spring_MinTemp,Summer_MinTemp,Autumn_MinTemp,Annual_MeanTemp,Winter_MaxTemp,Spring_MeanTemp,Summer_MeanTemp,Autumn_MeanTemp,Annual_MaxTemp,Spring_MaxTemp,Summer_MaxTemp,Autumn_MaxTemp
1840,NaN,NaN,2.3,13.1,2.6,NaN,NaN,6.8,18.1,7.4,NaN,11.2,23,12
1841,2.1,-8.9,-0.6,13,3.6,6.8,-0.9,4.3,19.1,7.8,11.5,9.2,25.1,11.8
1842,2.3,-6.3,1.6,11.5,3,7.2,1.6,6.6,17.5,7.5,12.1,11.6,23.6,12
1843,1.7,-8.6,-1.6,11.7,3.8,6.3,-1,3.4,17.7,7.8,10.9,8.3,23.7,11.8
1844,2.4,-7.2,2.3,12.1,3.2,7.4,0.1,7.6,18,7.9,12.3,12.7,23.8,12.6
1845,1.9,-6.8,0.7,12.1,2.9,6.8,1,5.9,18.2,7.6,11.8,11.1,24.2,12.4
1846,3.3,-10.1,1.9,13.9,6.1,7.7,-1.5,6.5,19.2,9.9,12.1,11,24.4,13.6
1847,2.3,-7.8,-0.3,12.5,4.3,6.2,-1.4,3.8,17.4,7.7,10,7.9,22.2,11.2
1848,2.7,-5.6,0.5,12.9,3.2,6.9,0.6,4.9,18,6.9,11,9.4,23.1,10.5
1849,2.5,-8.6,0.6,13,5.6,6.3,-2.3,4.2,18.1,9.1,10.1,7.8,23.1,12.7
1850,2,-6.6,-0.9,13.7,2.4,6.6,0.2,3.8,19,7.4,11.2,8.5,24.4,12.3
1851,2.6,-7.5,1.5,12.5,4.1,6.4,-0.9,5.4,16.9,7.9,10.2,9.2,21.3,11.6
1852,2.1,-9.9,-0.5,12.7,3.9,6.1,-3.1,3.4,17.6,7.9,10.1,7.2,22.4,11.9
1853,1.9,-7.2,0.4,12.7,3.2,6.6,-0.1,4.5,18.8,8.1,11.2,8.4,24.8,12.9
1854,1.3,-10.4,-0.8,12.5,4.2,6.8,-1.1,4.3,19.6,9.3,12.2,9.3,26.7,14.4
1855,1.3,-11,-0.5,12.8,3.2,6.4,-2,5.2,17.9,8.2,11.4,10.9,23,13.1
1856,0.1,-12.5,-1.7,12.7,2.5,5.2,-3,3.3,18.4,7.6,10.3,8.3,24,12.5
1857,1.1,-10.9,-1.9,12.5,3,5.6,-2.2,2.7,17.5,7.4,10.2,7.4,22.4,11.7
1858,3.3,-6.8,0.4,14.8,5.3,7.1,-0.1,4.4,19.3,8.7,10.9,8.4,23.9,12.1
1859,3.1,-6.7,2.7,13.4,4.4,6.9,-0.1,6.6,17.9,7.9,10.6,10.4,22.3,11.3
1860,3,-9.3,2.1,13.2,4.9,7,-2.1,6.4,18.1,8.4,11,10.6,22.9,11.9
1861,2.8,-8.2,0,12.9,5.5,6.8,-1.8,4,17.9,9.1,10.8,7.9,22.8,12.6
1862,2.8,-7.6,0.5,13.2,5.3,6.8,-0.6,4.6,18.3,8.9,10.8,8.6,23.3,12.5
1863,3,-6.3,0.6,13.7,4.7,7.1,0.3,4.9,18.3,8.5,11.2,9.3,23,12.3
1864,3.2,-7.2,1.4,14.5,4.5,7.3,-0.2,5.3,19.7,8.1,11.3,9.2,24.9,11.6
1865,3,-9.3,1.4,13.3,6,7.3,-1.9,5.9,18.5,10,11.6,10.3,23.6,14
1866,1.0999999999999999,-8.2,-1.2000000000000002,11.233333333333333,3,5.949999999999999,-1.1,4,16.933333333333334,7.733333333333333,10.7,9.100000000000001,22.6,12.466666666666667
1867,-0.43333333333333324,-11.6,-2.8666666666666667,11.9,2,5.3,-1.9333333333333333,2.3333333333333335,18.366666666666667,8.033333333333333,11.033333333333333,7.5,24.8,13.966666666666667
1868,-0.9999999999999999,-16.3,-2.0666666666666664,12.766666666666666,1.0666666666666664,4.733333333333333,-3.433333333333333,3.6,19.266666666666666,5.866666666666666,10.433333333333334,9.2,25.666666666666668,10.6
1869,-1.15,-11.633333333333333,-3.9,10,0.3999999999999999,4.6,-0.9666666666666667,2.1,15.9,5.833333333333333,10.2,8.1,21.766666666666666,11.266666666666667
1870,0.14999999999999997,-12.3,-1.9000000000000001,11.625,2.5,6.05,-0.7333333333333333,4.05,18.075,8.05,11.9,9.975,24.45,13.55
1871,-1.5,-13.5,-0.35,10.36,0.9800000000000001,4.933333333333334,-1.2333333333333334,5.025,16.38,6.359999999999999,11.333333333333334,10.35,22.34,11.72
1872,0.14444444444444443,-12.857142857142858,-3.4,13.055555555555555,2.67,5.1625,-2.557142857142857,2.16,18.1875,7.344444444444445,10.125,7.7,23.3,12.02
1873,-0.97,-14.558333333333334,-1.9230769230769231,12.175,0.6333333333333334,4.2444444444444445,-4.327272727272727,3.253846153846154,17.925,5.6,9.533333333333333,8.415384615384616,23.633333333333333,10.558333333333334
1874,0.2545454545454545,-10.76,-3.223076923076923,11.138461538461538,3.1166666666666667,5.290909090909091,-1.1199999999999999,2.1,16.653846153846153,8.091666666666667,10.281818181818181,7.438461538461539,22.123076923076923,12.991666666666667
1875,-1.976923076923077,-15.858333333333333,-4.053846153846154,11.538461538461538,0.6071428571428572,3.307692307692308,-5.216666666666667,1.376923076923077,17.276923076923076,5.207142857142857,8.561538461538461,6.8,22.96923076923077,9.792857142857143
1876,-0.22000000000000003,-13.233333333333333,-2.5933333333333333,12.833333333333334,2.40625,4.707142857142857,-3.02,2.35,18.307142857142857,6.45,9.614285714285714,7.185714285714286,23.864285714285714,10.48125
1877,1.0857142857142859,-13.26,-2.041176470588235,12.786666666666667,3.2055555555555557,6.021428571428571,-3.75625,3.3058823529411767,18.233333333333334,7.75,10.746666666666666,8.6,23.633333333333333,12.266666666666667
1878,1.5294117647058825,-10.01764705882353,0.7368421052631579,12.368421052631579,3.7842105263157895,6.252941176470588,-0.9705882352941176,5.463157894736842,17.842105263157894,8.2,10.935294117647059,10.142105263157895,23.263157894736842,12.578947368421053
1879,-1.2944444444444445,-13.652631578947368,-2.4210526315789473,11.02,2.445,4.05,-4.042105263157895,3.1052631578947367,16.535,7.2700000000000005,9.442105263157895,8.685,22.025,12.035
1880,-0.43684210526315786,-12.62,-3.2473684210526317,11.715789473684211,1.457142857142857,4.747368421052632,-1.545,2.2105263157894735,17.273684210526316,6.08,9.98,7.805,22.885,10.757142857142856
1881,-0.15555555555555556,-14.595454545454546,-1.4086956521739131,11.126315789473685,1.965217391304348,4.9944444444444445,-4.6,3.8043478260869565,16.766666666666666,6.926086956521739,10.144444444444444,8.986956521739131,22.288888888888888,11.878260869565217
1882,-0.875,-12.533333333333333,-4.1045454545454545,10.936363636363636,2.272727272727273,4.31,-1.8272727272727272,1.1727272727272728,16.595454545454544,6.9714285714285715,9.333333333333334,6.460869565217392,22.195454545454545,11.8
1883,-2.2227272727272727,-16.227272727272727,-4.866666666666666,10.588000000000001,1.0875,3.2454545454545456,-5.5590909090909095,0.9208333333333334,16.504166666666666,6.041666666666667,8.709090909090909,6.679166666666667,22.325,10.9875
1884,-1.8916666666666666,-16.26923076923077,-3.230769230769231,10.3,0.9111111111111111,3.3875,-5.562962962962963,2.0307692307692307,15.992,5.825925925925926,8.616,7.344444444444445,21.723076923076924,10.714814814814815
1885,-2.388888888888889,-17.451724137931034,-4.742857142857143,10.132142857142856,1.16,2.8923076923076922,-7.160714285714286,1.0464285714285715,15.871428571428572,6.01,8.266666666666667,6.751724137931034,21.54642857142857,10.853333333333333
1886,-2.5307692307692307,-15.038709677419355,-2.9166666666666665,10.38888888888889,0.3,3.2,-4.987096774193549,2.706896551724138,16.637037037037036,5.651724137931034,8.876923076923077,8.393103448275863,22.7,10.972413793103449
1887,-2.1,-18.32142857142857,-3.203846153846154,10.420689655172414,-0.3689655172413793,3.2291666666666665,-7.366666666666666,2.2115384615384617,16.53103448275862,4.927586206896552,8.736,7.722222222222222,22.579310344827586,10.193103448275862
1888,-2.1416666666666666,-16.033333333333335,-4.7178571428571425,9.792857142857143,0.5800000000000001,3.075,-6.229166666666667,0.5444444444444444,15.814285714285715,5.37,8.279166666666667,5.611111111111111,21.862068965517242,10.13
1889,-0.3296296296296296,-12.932258064516128,-1.096875,10.618518518518519,1.16,5.074074074074074,-3.045161290322581,4.6125,16.525925925925925,6.1866666666666665,10.466666666666667,10.309375,22.392592592592592,11.163333333333334
1890,-2.321875,-15.461290322580645,-3.888235294117647,10.123529411764705,1.4388888888888889,3.241935483870968,-5.138709677419355,1.561764705882353,16.11764705882353,6.25,8.641935483870968,6.985294117647059,22.03529411764706,11.033333333333333
1891,-1.497142857142857,-15.027777777777779,-3.408108108108108,9.64054054054054,0.7135135135135136,4.162857142857143,-4.177777777777778,2.556756756756757,15.77027027027027,6.121621621621622,9.817142857142857,8.508108108108107,21.84864864864865,11.489189189189188
1892,-1.715625,-13.083333333333334,-3.2486486486486488,10.489189189189188,0.85,3.6875,-3.1277777777777778,2.0783783783783782,16.794594594594596,6.008333333333333,9.05,7.402702702702703,23.043243243243243,11.141666666666666
1893,-2.809090909090909,-17.508108108108107,-4.21578947368421,10.737837837837837,-0.41,2.8212121212121213,-7.402702702702703,1.4567567567567568,17.125,4.8475,8.465714285714286,7.008108108108108,23.305263157894736,10.153658536585366
1894,-1.2361111111111112,-16.931578947368422,-2.1363636363636362,10.314634146341463,0.855,4.288888888888889,-6.023684210526316,3.536363636363636,17.053658536585367,5.88,9.791666666666666,9.195454545454545,23.73658536585366,10.87
1895,-2.4342105263157894,-15.190697674418605,-2.9272727272727272,9.72888888888889,-0.09375,3.4918918918918918,-5.6,3.2886363636363636,16.162222222222223,5.085416666666667,8.963157894736842,9.475,22.53913043478261,10.233333333333333
1896,-2.2727272727272725,-14.214893617021277,-3.2854166666666664,9.9375,-1.2583333333333333,3.2325581395348837,-4.568085106382979,2.24375,16.4125,3.863829787234043,8.697727272727272,7.820408163265306,22.961224489795917,8.940425531914894
1897,-1.6906976744186046,-13.571111111111112,-3.0096153846153846,10.077551020408164,0.08431372549019611,3.841860465116279,-4.011111111111111,2.776923076923077,16.224489795918366,5.370588235294117,9.361363636363636,8.551923076923076,22.258,10.615686274509804
1898,-1.016,-13.514814814814814,-2.229090909090909,10.78,1.0241379310344827,4.37,-4.059259259259259,3.6454545454545455,16.883333333333333,5.825862068965518,9.741999999999999,9.498181818181818,22.875925925925927,10.591379310344827
1899,-1.550943396226415,-15.056896551724138,-4.074137931034483,9.812068965517241,1.831578947368421,3.7358490566037736,-5.537931034482758,1.5482758620689656,16.012280701754385,6.649122807017544,8.986792452830189,7.1499999999999995,22.118965517241378,11.433333333333334
1900,-1.3574074074074074,-13.51551724137931,-2.8114754098360657,10.226229508196722,1.0444444444444443,4.19622641509434,-3.57719298245614,3.315,16.4,6.085714285714285,9.785185185185185,9.318333333333333,22.543548387096774,11.087301587301587
1901,-1.2345454545454546,-13.77741935483871,-1.6857142857142857,10.180327868852459,0.54,4.294444444444444,-4.168852459016393,4.122580645161291,16.431666666666665,5.676666666666667,9.527272727272727,9.7,22.588524590163935,10.791666666666666
1902,-1.3349206349206348,-12.90952380952381,-1.6892307692307693,8.959090909090909,0.2869565217391304,3.970967741935484,-3.5174603174603174,3.7,15.101538461538462,5.691304347826087,9.362903225806452,9.207692307692307,21.242424242424242,11.063768115942029
1903,-1.9870967741935484,-14.370588235294118,-3.1787878787878787,9.239705882352942,-0.10000000000000002,3.5754098360655737,-4.3764705882352946,2.953846153846154,15.20735294117647,5.087323943661972,9.11774193548387,8.965151515151515,21.141176470588235,10.246478873239436
1904,-2.740322580645161,-16.638235294117646,-3.5712328767123287,9.128787878787879,0.7188405797101449,2.925806451612903,-6.535294117647059,2.232876712328767,15.674242424242424,6.076811594202899,8.546875,8.028767123287672,22.155223880597013,11.358571428571429
1905,-2.040625,-16.223529411764705,-2.5027397260273974,9.74,0.18591549295774645,3.7365079365079366,-5.88235294117647,3.7416666666666667,16.05142857142857,5.434285714285714,9.434920634920635,9.901388888888889,22.312857142857144,10.551428571428572
1906,-1.265079365079365,-12.544927536231883,-2.9788732394366195,10.279710144927536,0.9695652173913043,4.4790322580645165,-2.3926470588235293,3.1869565217391305,16.8231884057971,6.065217391304348,10.022222222222222,9.067142857142857,23.3,11.12463768115942
1907,-2.8444444444444446,-17.58732394366197,-5.36056338028169,9.129577464788733,0.43623188405797103,2.776190476190476,-7.394366197183099,0.4661971830985916,15.419718309859155,5.810144927536232,8.3515625,6.288732394366197,21.673239436619717,11.155072463768116
